,ITE_ITEM_TITLE1,ITE_ITEM_TITLE2,"Score Similitud (0,1)"
0,tenis ascension posh masculino preto vermelho,tenis ascension posh masculino preto vermelho,0.9999998807907104
1,tenis ascension posh masculino preto vermelho,tenis caminhada super levinho spider corrida,0.7240903973579407
2,tenis ascension posh masculino preto vermelho,tenis feminino parc hocks black ice original envio,0.8160789012908936
3,tenis ascension posh masculino preto vermelho,tenis olympikus esportivo academia nova tendencia triunfo,0.7272311449050903
4,tenis ascension posh masculino preto vermelho,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5694112777709961
5,tenis caminhada super levinho spider corrida,tenis ascension posh masculino preto vermelho,0.7240903973579407
6,tenis caminhada super levinho spider corrida,tenis caminhada super levinho spider corrida,0.9999998211860657
7,tenis caminhada super levinho spider corrida,tenis feminino parc hocks black ice original envio,0.7743054628372192
8,tenis caminhada super levinho spider corrida,tenis olympikus esportivo academia nova tendencia triunfo,0.7006345391273499
9,tenis caminhada super levinho spider corrida,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5836501717567444
10,tenis feminino parc hocks black ice original envio,tenis ascension posh masculino preto vermelho,0.8160789012908936
11,tenis feminino parc hocks black ice original envio,tenis caminhada super levinho spider corrida,0.7743054628372192
12,tenis feminino parc hocks black ice original envio,tenis feminino parc hocks black ice original envio,0.9999998807907104
13,tenis feminino parc hocks black ice original envio,tenis olympikus esportivo academia nova tendencia triunfo,0.7610645890235901
14,tenis feminino parc hocks black ice original envio,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5526597499847412
15,tenis olympikus esportivo academia nova tendencia triunfo,tenis ascension posh masculino preto vermelho,0.7272311449050903
16,tenis olympikus esportivo academia nova tendencia triunfo,tenis caminhada super levinho spider corrida,0.7006345391273499
17,tenis olympikus esportivo academia nova tendencia triunfo,tenis feminino parc hocks black ice original envio,0.7610645890235901
18,tenis olympikus esportivo academia nova tendencia triunfo,tenis olympikus esportivo academia nova tendencia triunfo,0.9999997615814209
19,tenis olympikus esportivo academia nova tendencia triunfo,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5878199338912964
20,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis ascension posh masculino preto vermelho,0.5694112777709961
21,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis caminhada super levinho spider corrida,0.5836501121520996
22,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis feminino parc hocks black ice original envio,0.5526597499847412
23,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis olympikus esportivo academia nova tendencia triunfo,0.5878199338912964
24,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregave,1.0
25,tenis ascension posh masculino preto vermelho,tenis ascension posh masculino preto vermelho,0.9999998807907104
26,tenis ascension posh masculino preto vermelho,tenis caminhada super levinho spider corrida,0.7240903973579407
27,tenis ascension posh masculino preto vermelho,tenis feminino parc hocks black ice original envio,0.8160789012908936
28,tenis ascension posh masculino preto vermelho,tenis olympikus esportivo academia nova tendencia triunfo,0.7272311449050903
29,tenis ascension posh masculino preto vermelho,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5694112777709961
30,tenis caminhada super levinho spider corrida,tenis ascension posh masculino preto vermelho,0.7240903973579407
31,tenis caminhada super levinho spider corrida,tenis caminhada super levinho spider corrida,0.9999998211860657
32,tenis caminhada super levinho spider corrida,tenis feminino parc hocks black ice original envio,0.7743054628372192
33,tenis caminhada super levinho spider corrida,tenis olympikus esportivo academia nova tendencia triunfo,0.7006345391273499
34,tenis caminhada super levinho spider corrida,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5836501717567444
35,tenis feminino parc hocks black ice original envio,tenis ascension posh masculino preto vermelho,0.8160789012908936
36,tenis feminino parc hocks black ice original envio,tenis caminhada super levinho spider corrida,0.7743054628372192
37,tenis feminino parc hocks black ice original envio,tenis feminino parc hocks black ice original envio,0.9999998807907104
38,tenis feminino parc hocks black ice original envio,tenis olympikus esportivo academia nova tendencia triunfo,0.7610645890235901
39,tenis feminino parc hocks black ice original envio,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5526597499847412
40,tenis olympikus esportivo academia nova tendencia triunfo,tenis ascension posh masculino preto vermelho,0.7272311449050903
41,tenis olympikus esportivo academia nova tendencia triunfo,tenis caminhada super levinho spider corrida,0.7006345391273499
42,tenis olympikus esportivo academia nova tendencia triunfo,tenis feminino parc hocks black ice original envio,0.7610645890235901
43,tenis olympikus esportivo academia nova tendencia triunfo,tenis olympikus esportivo academia nova tendencia triunfo,0.9999997615814209
44,tenis olympikus esportivo academia nova tendencia triunfo,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5878199338912964
45,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis ascension posh masculino preto vermelho,0.5694112777709961
46,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis caminhada super levinho spider corrida,0.5836501121520996
47,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis feminino parc hocks black ice original envio,0.5526597499847412
48,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis olympikus esportivo academia nova tendencia triunfo,0.5878199338912964
49,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregave,1.0
50,tenis ascension posh masculino preto vermelho,tenis ascension posh masculino preto vermelho,0.9999998807907104
51,tenis ascension posh masculino preto vermelho,tenis caminhada super levinho spider corrida,0.7240903973579407
52,tenis ascension posh masculino preto vermelho,tenis feminino parc hocks black ice original envio,0.8160789012908936
53,tenis ascension posh masculino preto vermelho,tenis olympikus esportivo academia nova tendencia triunfo,0.7272311449050903
54,tenis ascension posh masculino preto vermelho,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5694112777709961
55,tenis caminhada super levinho spider corrida,tenis ascension posh masculino preto vermelho,0.7240903973579407
56,tenis caminhada super levinho spider corrida,tenis caminhada super levinho spider corrida,0.9999998211860657
57,tenis caminhada super levinho spider corrida,tenis feminino parc hocks black ice original envio,0.7743054628372192
58,tenis caminhada super levinho spider corrida,tenis olympikus esportivo academia nova tendencia triunfo,0.7006345391273499
59,tenis caminhada super levinho spider corrida,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5836501717567444
60,tenis feminino parc hocks black ice original envio,tenis ascension posh masculino preto vermelho,0.8160789012908936
61,tenis feminino parc hocks black ice original envio,tenis caminhada super levinho spider corrida,0.7743054628372192
62,tenis feminino parc hocks black ice original envio,tenis feminino parc hocks black ice original envio,0.9999998807907104
63,tenis feminino parc hocks black ice original envio,tenis olympikus esportivo academia nova tendencia triunfo,0.7610645890235901
64,tenis feminino parc hocks black ice original envio,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5526597499847412
65,tenis olympikus esportivo academia nova tendencia triunfo,tenis ascension posh masculino preto vermelho,0.7272311449050903
66,tenis olympikus esportivo academia nova tendencia triunfo,tenis caminhada super levinho spider corrida,0.7006345391273499
67,tenis olympikus esportivo academia nova tendencia triunfo,tenis feminino parc hocks black ice original envio,0.7610645890235901
68,tenis olympikus esportivo academia nova tendencia triunfo,tenis olympikus esportivo academia nova tendencia triunfo,0.9999997615814209
69,tenis olympikus esportivo academia nova tendencia triunfo,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5878199338912964
70,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis ascension posh masculino preto vermelho,0.5694112777709961
71,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis caminhada super levinho spider corrida,0.5836501121520996
72,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis feminino parc hocks black ice original envio,0.5526597499847412
73,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis olympikus esportivo academia nova tendencia triunfo,0.5878199338912964
74,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregave,1.0
75,tenis ascension posh masculino preto vermelho,tenis ascension posh masculino preto vermelho,0.9999998807907104
76,tenis ascension posh masculino preto vermelho,tenis caminhada super levinho spider corrida,0.7240903973579407
77,tenis ascension posh masculino preto vermelho,tenis feminino parc hocks black ice original envio,0.8160789012908936
78,tenis ascension posh masculino preto vermelho,tenis olympikus esportivo academia nova tendencia triunfo,0.7272311449050903
79,tenis ascension posh masculino preto vermelho,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5694112777709961
80,tenis caminhada super levinho spider corrida,tenis ascension posh masculino preto vermelho,0.7240903973579407
81,tenis caminhada super levinho spider corrida,tenis caminhada super levinho spider corrida,0.9999998211860657
82,tenis caminhada super levinho spider corrida,tenis feminino parc hocks black ice original envio,0.7743054628372192
83,tenis caminhada super levinho spider corrida,tenis olympikus esportivo academia nova tendencia triunfo,0.7006345391273499
84,tenis caminhada super levinho spider corrida,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5836501717567444
85,tenis feminino parc hocks black ice original envio,tenis ascension posh masculino preto vermelho,0.8160789012908936
86,tenis feminino parc hocks black ice original envio,tenis caminhada super levinho spider corrida,0.7743054628372192
87,tenis feminino parc hocks black ice original envio,tenis feminino parc hocks black ice original envio,0.9999998807907104
88,tenis feminino parc hocks black ice original envio,tenis olympikus esportivo academia nova tendencia triunfo,0.7610645890235901
89,tenis feminino parc hocks black ice original envio,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5526597499847412
90,tenis olympikus esportivo academia nova tendencia triunfo,tenis ascension posh masculino preto vermelho,0.7272311449050903
91,tenis olympikus esportivo academia nova tendencia triunfo,tenis caminhada super levinho spider corrida,0.7006345391273499
92,tenis olympikus esportivo academia nova tendencia triunfo,tenis feminino parc hocks black ice original envio,0.7610645890235901
93,tenis olympikus esportivo academia nova tendencia triunfo,tenis olympikus esportivo academia nova tendencia triunfo,0.9999997615814209
94,tenis olympikus esportivo academia nova tendencia triunfo,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5878199338912964
95,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis ascension posh masculino preto vermelho,0.5694112777709961
96,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis caminhada super levinho spider corrida,0.5836501121520996
97,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis feminino parc hocks black ice original envio,0.5526597499847412
98,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis olympikus esportivo academia nova tendencia triunfo,0.5878199338912964
99,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregave,1.0
100,tenis ascension posh masculino preto vermelho,tenis ascension posh masculino preto vermelho,0.9999998807907104
101,tenis ascension posh masculino preto vermelho,tenis caminhada super levinho spider corrida,0.7240903973579407
102,tenis ascension posh masculino preto vermelho,tenis feminino parc hocks black ice original envio,0.8160789012908936
103,tenis ascension posh masculino preto vermelho,tenis olympikus esportivo academia nova tendencia triunfo,0.7272311449050903
104,tenis ascension posh masculino preto vermelho,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5694112777709961
105,tenis caminhada super levinho spider corrida,tenis ascension posh masculino preto vermelho,0.7240903973579407
106,tenis caminhada super levinho spider corrida,tenis caminhada super levinho spider corrida,0.9999998211860657
107,tenis caminhada super levinho spider corrida,tenis feminino parc hocks black ice original envio,0.7743054628372192
108,tenis caminhada super levinho spider corrida,tenis olympikus esportivo academia nova tendencia triunfo,0.7006345391273499
109,tenis caminhada super levinho spider corrida,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5836501717567444
110,tenis feminino parc hocks black ice original envio,tenis ascension posh masculino preto vermelho,0.8160789012908936
111,tenis feminino parc hocks black ice original envio,tenis caminhada super levinho spider corrida,0.7743054628372192
112,tenis feminino parc hocks black ice original envio,tenis feminino parc hocks black ice original envio,0.9999998807907104
113,tenis feminino parc hocks black ice original envio,tenis olympikus esportivo academia nova tendencia triunfo,0.7610645890235901
114,tenis feminino parc hocks black ice original envio,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5526597499847412
115,tenis olympikus esportivo academia nova tendencia triunfo,tenis ascension posh masculino preto vermelho,0.7272311449050903
116,tenis olympikus esportivo academia nova tendencia triunfo,tenis caminhada super levinho spider corrida,0.7006345391273499
117,tenis olympikus esportivo academia nova tendencia triunfo,tenis feminino parc hocks black ice original envio,0.7610645890235901
118,tenis olympikus esportivo academia nova tendencia triunfo,tenis olympikus esportivo academia nova tendencia triunfo,0.9999997615814209
119,tenis olympikus esportivo academia nova tendencia triunfo,inteligente led bicicleta tauda luz usb bicicleta carregave,0.5878199338912964
120,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis ascension posh masculino preto vermelho,0.5694112777709961
121,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis caminhada super levinho spider corrida,0.5836501121520996
122,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis feminino parc hocks black ice original envio,0.5526597499847412
123,inteligente led bicicleta tauda luz usb bicicleta carregave,tenis olympikus esportivo academia nova tendencia triunfo,0.5878199338912964
124,inteligente led bicicleta tauda luz usb bicicleta carregave,inteligente led bicicleta tauda luz usb bicicleta carregave,1.0
